feature,importance
household_has_computer,290379530522.10016
household_has_broadband,224214185122.46857
bachelors,120629493641.86606
household_has_smartphone,90612310469.14914
poverty,74048052051.19368
asian,47875459944.081024
hs_grad,28651357890.290462
housing_one_unit_structures,25114738522.655827
poverty_65_and_over,18471287019.314037
poverty_under_18,16386865313.85617
households_speak_other_indo_euro_lang,8482635993.697289
veterans,3298802886.437833
households,2366175111.3484154
households_speak_asian_or_pac_isl,2287060940.3087215
two_plus_races,2281388868.0002527
white,2040345921.0161848
black,1477562657.628976
unemployment_rate,1108171993.2217314
pop,952402445.7322007
uninsured,562783263.3872087
